"","player","height","weight","birth_year"
"747","Esteban Batista",208,122,1983
"748","Andray Blatche",211,106,1986
"749","Andrew Bogut",213,117,1984
"750","Kevin Burleson",190,92,1979
"751","Andrew Bynum",213,129,1987
"752","Will Bynum",183,83,1983
"753","Jose Calderon",190,90,1981
"754","Travis Diener",185,79,1982
"755","Ike Diogu",203,113,1983
"756","Monta Ellis",190,83,1985
"757","Daniel Ewing",190,83,1983
"758","Noel Felix",206,102,1981
"759","Raymond Felton",185,92,1984
"760","Gerald Fitch",190,85,1982
"761","Sharrod Ford",201,95,1972
"762","Channing Frye",211,115,1983
"763","Deng Gai",206,113,1982
"764","Francisco Garcia",201,88,1981
"765","Ryan Gomes",201,113,1982
"766","Joey Graham",201,102,1982
"767","Stephen Graham",198,97,1982
"768","Danny Granger",206,100,1983
"769","Devin Green",201,95,1982
"770","Gerald Green",201,92,1986
"771","Orien Greene",193,94,1982
"772","Anthony Grundy",190,81,1979
"773","Chuck Hayes",198,108,1983
"774","Luther Head",190,83,1982
"775","Julius Hodge",201,95,1983
"776","Randy Holcomb",206,102,1979
"777","Jarrett Jack",190,90,1983
"778","Sarunas Jasikevicius",193,88,1976
"779","Amir Johnson",206,108,1987
"780","Linas Kleiza",203,111,1985
"781","Yaroslav Korolev",206,92,1987
"782","Arvydas Macijauskas",193,97,1980
"783","Rawle Marshall",206,86,1982
"784","Jason Maxiell",201,117,1983
"785","Sean May",206,120,1984
"786","Rashad McCants",193,93,1984
"787","Aaron Miles",185,79,1983
"788","C.J. Miles",185,79,1983
"789","Sergei Monia",203,99,1983
"790","Boniface N'Dong",213,89,1977
"791","Fabricio Oberto",208,111,1975
"792","Andre Owens",193,90,1980
"793","Chris Paul",183,79,1985
"794","Johan Petro",213,112,1986
"795","Josh Powell",206,102,1983
"796","Ronnie Price",188,86,1983
"797","Shavlik Randolph",208,108,1983
"798","Lawrence Roberts",206,108,1982
"799","Nate Robinson",175,81,1984
"800","Melvin Sanders",196,95,1981
"801","Alex Scales",193,83,1978
"802","Luke Schenscher",216,115,1982
"803","Wayne Simien",206,115,1983
"804","James Singleton",203,97,1981
"805","Salim Stoudamire",185,81,1982
"806","Chris Taft",208,117,1985
"807","Donell Taylor",198,81,1982
"808","Dijon Thompson",201,88,1983
"809","Ronny Turiaf",208,112,1983
"810","Charlie Villanueva",211,105,1984
"811","Von Wafer",196,95,1985
"812","Matt Walsh",198,92,1982
"813","Hakim Warrick",206,99,1982
"814","Robert Whaley",208,117,1982
"815","Deron Williams",190,90,1984
"816","Marvin Williams",185,89,1982
"817","Antoine Wright",201,95,1984
"818","Derrick Zimmerman",190,88,1981
"819","Hassan Adams",193,99,1984
"820","Maurice Ager",196,91,1984
"821","LaMarcus Aldridge",211,117,1985
"822","Lou Amundson",206,99,1982
"823","Hilton Armstrong",211,106,1984
"824","James Augustine",208,106,1984
"825","Kelenna Azubuike",196,99,1983
"826","Renaldo Balkman",203,94,1984
"827","J.J. Barea",203,94,1984
"828","Andrea Bargnani",213,111,1985
"829","Will Blalock",183,92,1983
"830","Josh Boone",208,107,1984
"831","Cedric Bozeman",198,93,1983
"832","Andre Brown",206,111,1981
"833","Shannon Brown",193,92,1985
"834","Rodney Carney",201,92,1984
"835","Mardy Collins",198,99,1984
"836","Will Conroy",188,88,1982
"837","Paul Davis",211,122,1984
"838","Yakhouba Diawara",201,102,1982
"839","Quincy Douby",190,79,1984
"840","Jordan Farmar",188,81,1986
"841","Desmon Farmer",196,99,1981
"842","Randy Foye",193,96,1983
"843","Jorge Garbajosa",206,111,1977
"844","Rudy Gay",203,104,1986
"845","Mickael Gelabale",201,97,1983
"846","Daniel Gibson",188,86,1986
"847","Andreas Glyniadakis",216,127,1981
"848","Lynn Greer",188,79,1979
"849","Mike Hall",203,104,1984
"850","Walter Herrmann",206,102,1979
"851","Robert Hite",188,83,1984
"852","Ryan Hollins",213,108,1984
"853","Mile Ilic",216,104,1984
"854","Ersan Ilyasova",208,106,1987
"855","Alexander Johnson",206,108,1983
"856","Solomon Jones",208,104,1984
"857","Tarence Kinsey",198,83,1984
"858","James Lang",208,129,1983
"859","Kyle Lowry",183,92,1986
"860","Renaldo Major",201,90,1982
"861","Damir Markota",208,102,1985
"862","Chris McCray",196,87,1984
"863","Ivan McFarlin",203,108,1982
"864","Pops Mensah-Bonsu",206,108,1983
"865","Paul Millsap",203,111,1985
"866","Randolph Morris",208,120,1986
"867","Adam Morrison",203,92,1984
"868","David Noel",198,104,1984
"869","Steve Novak",208,102,1983
"870","Patrick O'Bryant",213,117,1986
"871","Kevinn Pinkney",208,111,1983
"872","Leon Powe",203,108,1984
"873","Roger Powell",198,106,1983
"874","Chris Quinn",188,83,1983
"875","Allan Ray",188,86,1984
"876","J.J. Redick",188,86,1984
"877","Jeremy Richardson",198,83,1984
"878","Sergio Rodriguez",190,79,1986
"879","Rajon Rondo",185,84,1986
"880","Brandon Roy",198,97,1984
"881","Thabo Sefolosha",201,99,1984
"882","Mouhamed Sene",201,99,1984
"883","Cedric Simmons",206,106,1986
"884","Uros Slokar",208,107,1983
"885","Craig Smith",201,113,1983
"886","Vassilis Spanoulis",193,88,1982
"887","Tyrus Thomas",206,97,1986
"888","P.J. Tucker",206,97,1986
"889","Marcus Vinicius",206,97,1986
"890","James White",206,131,1976
"891","Justin Williams",208,102,1984
"892","Marcus Williams",185,89,1982
"893","Shawne Williams",185,91,1975
"894","Shelden Williams",185,91,1975
"895","Arron Afflalo",196,95,1985
"896","Blake Ahearn",188,86,1984
"897","Lance Allred",211,113,1981
"898","Morris Almond",198,102,1985
"899","Joel Anthony",206,111,1982
"900","Marco Belinelli",196,95,1986
"901","Corey Brewer",206,84,1986
"902","Aaron Brooks",183,73,1985
"903","Wilson Chandler",203,102,1987
"904","Mike Conley",185,79,1987
"905","Javaris Crittenton",196,90,1987
"906","Jermareo Davidson",208,104,1984
"907","Glen Davis",206,131,1986
"908","Guillermo Diaz",188,87,1985
"909","Jared Dudley",201,102,1985
"910","Kevin Durant",206,108,1988
"911","Nick Fazekas",211,106,1985
"912","Kyrylo Fesenko",216,130,1986
"913","Thomas Gardner",196,102,1985
"914","Marcin Gortat",211,108,1984
"915","Aaron Gray",213,122,1984
"916","Taurean Green",183,80,1986
"917","Mike Harris",198,108,1983
"918","Spencer Hawes",216,111,1988
"919","Al Horford",208,111,1986
"920","Yi Jianlian",213,108,1987
"921","Coby Karl",196,97,1983
"922","Carl Landry",206,112,1983
"923","Keith Langford",193,97,1983
"924","Stephane Lasme",203,97,1982
"925","Acie Law",190,88,1985
"926","Ian Mahinmi",211,113,1986
"927","Dominic McGuire",206,99,1985
"928","Josh McRoberts",208,108,1987
"929","Jamario Moon",203,92,1980
"930","Juan Carlos",203,92,1980
"931","Demetris Nichols",203,97,1984
"932","Joakim Noah",211,104,1985
"933","Oleksiy Pecherov",213,105,1985
"934","Kosta Perovic",218,108,1985
"935","Kasib Powell",201,97,1981
"936","Gabe Pruitt",193,77,1986
"937","Chris Richard",206,122,1984
"938","Cheikh Samb",216,111,1984
"939","Luis Scola",206,108,1980
"940","Ramon Sessions",190,86,1986
"941","Courtney Sims",208,111,1983
"942","Jason Smith",211,113,1977
"943","D.J. Strawberry",211,113,1977
"944","Rodney Stuckey",196,95,1986
"945","Al Thornton",203,99,1983
"946","Darius Washington",188,88,1985
"947","Darryl Watkins",211,117,1984
"948","C.J. Watson",211,117,1984
"949","Sean Williams",208,106,1986
"950","Julian Wright",203,102,1987
"951","Nick Young",201,95,1985
"952","Thaddeus Young",203,100,1988
"953","Alexis Ajinca",218,112,1988
"954","Joe Alexander",203,104,1986
"955","Ryan Anderson",208,108,1988
"956","Darrell Arthur",206,106,1988
"957","D.J. Augustin",206,106,1988
"958","Nicolas Batum",203,90,1988
"959","Jerryd Bayless",190,90,1988
"960","Michael Beasley",206,106,1989
"961","Mario Chalmers",188,86,1986
"962","Joe Crawford",196,95,1986
"963","Joey Dorsey",203,121,1983
"964","Chris Douglas-Roberts",201,90,1987
"965","Goran Dragic",190,86,1986
"966","Rudy Fernandez",198,83,1985
"967","Danilo Gallinari",208,102,1988
"968","Marc Gasol",216,115,1985
"969","J.R. Giddens",216,115,1985
"970","Eric Gordon",193,97,1988
"971","Donte Greene",211,102,1988
"972","Hamed Haddadi",218,115,1985
"973","Malik Hairston",198,99,1987
"974","Roy Hibbert",218,122,1986
"975","J.J. Hickson",218,122,1986
"976","George Hill",190,85,1986
"977","Steven Hill",213,112,1985
"978","Othello Hunter",203,102,1986
"979","Darnell Jackson",206,114,1985
"980","Nathan Jawai",208,127,1986
"981","Dontell Jefferson",196,88,1983
"982","Trey Johnson",196,98,1984
"983","DeAndre Jordan",211,120,1988
"984","Kosta Koufos",213,120,1989
"985","Rob Kurz",206,105,1985
"986","Courtney Lee",196,90,1985
"987","Brook Lopez",213,124,1988
"988","Robin Lopez",213,115,1988
"989","Kevin Love",208,113,1988
"990","Cartier Martin",201,99,1984
"991","O.J. Mayo",201,99,1984
"992","Luc Mbah",201,99,1984
"993","JaVale McGee",213,122,1988
"994","Anthony Morrow",196,95,1985
"995","DeMarcus Nelson",193,90,1985
"996","Greg Oden",213,113,1988
"997","Anthony Randolph",208,92,1989
"998","Derrick Rose",190,86,1988
"999","Brandon Rush",198,99,1985
"1000","Walter Sharpe",206,111,1986
"1001","Sean Singletary",183,83,1985
"1002","Marreese Speights",208,115,1987
"1003","Mike Taylor",188,74,1986
"1004","Anthony Tolliver",203,108,1985
"1005","Roko Ukic",196,83,1984
"1006","Henry Walker",196,83,1984
"1007","Kyle Weaver",198,91,1986
"1008","Sonny Weems",198,92,1986
"1009","Russell Westbrook",190,90,1988
"1010","D.J. White",190,90,1988
"1011","Sun Yue",206,92,1985
"1012","Rodrigue Beaubois",183,77,1988
"1013","DeJuan Blair",201,122,1989
"1014","Jon Brockman",201,115,1987
"1015","Chase Budinger",201,94,1988
"1016","DeMarre Carroll",203,97,1986
"1017","Omri Casspi",206,102,1988
"1018","Earl Clark",208,102,1988
"1019","Darren Collison",183,79,1987
"1020","Dante Cunningham",203,104,1987
"1021","JamesOn Curry",190,86,1986
"1022","Stephen Curry",190,86,1988
"1023","Austin Daye",211,99,1988
"1024","DeMar DeRozan",201,100,1989
"1025","Toney Douglas",188,88,1986
"1026","Wayne Ellington",193,90,1987
"1027","Tyreke Evans",198,99,1989
"1028","Jonny Flynn",183,83,1989
"1029","Sundiata Gaines",185,83,1986
"1030","Alonzo Gee",198,102,1987
"1031","Taj Gibson",206,102,1985
"1032","Trey Gilder",206,83,1985
"1033","Taylor Griffin",201,107,1986
"1034","Tyler Hansbrough",206,113,1985
"1035","James Harden",196,99,1989
"1036","Jordan Hill",208,106,1987
"1037","Jrue Holiday",193,92,1990
"1038","Lester Hudson",190,86,1984
"1039","Chris Hunter",211,108,1984
"1040","Serge Ibaka",208,106,1989
"1041","Cedric Jackson",190,86,1986
"1042","Othyus Jeffers",196,90,1985
"1043","Brandon Jennings",185,77,1989
"1044","Jonas Jerebko",208,104,1987
"1045","James Johnson",206,113,1987
"1046","Oliver Lafayette",188,86,1984
"1047","Marcus Landry",201,104,1985
"1048","Ty Lawson",180,88,1987
"1049","Eric Maynor",190,79,1987
"1050","Jodie Meeks",193,95,1987
"1051","Patty Mills",203,111,1985
"1052","Byron Mullens",213,124,1989
"1053","A.J. Price",213,124,1989
"1054","DaJuan Summers",203,104,1988
"1055","Jeff Teague",188,84,1988
"1056","Garrett Temple",198,88,1986
"1057","Hasheem Thabeet",221,119,1987
"1058","Marcus Thornton",193,92,1987
"1059","Terrence Williams",198,99,1987
"1060","Sam Young",198,99,1985
"1061","Jeff Adrien",201,111,1986
"1062","Solomon Alabi",216,113,1988
"1063","Cole Aldrich",211,113,1988
"1064","Al-Farouq Aminu",206,99,1990
"1065","James Anderson",198,96,1989
"1066","Omer Asik",213,115,1986
"1067","Luke Babbitt",206,102,1989
"1068","Eric Bledsoe",185,86,1989
"1069","Trevor Booker",203,103,1987
"1070","Craig Brackins",208,104,1987
"1071","Avery Bradley",188,81,1990
"1072","Derrick Caracter",206,124,1988
"1073","Sherron Collins",180,92,1987
"1074","Marcus Cousin",211,111,1986
"1075","DeMarcus Cousins",211,122,1990
"1076","Jordan Crawford",196,95,1986
"1077","Ed Davis",208,108,1989
"1078","Zabian Dowdell",190,86,1984
"1079","Devin Ebanks",206,97,1989
"1080","Semih Erden",213,108,1986
"1081","Jeremy Evans",206,90,1987
"1082","Christian Eyenga",196,95,1989
"1083","Derrick Favors",208,120,1991
"1084","Landry Fields",201,95,1988
"1085","Gary Forbes",201,99,1985
"1086","Paul George",206,99,1990
"1087","Blake Griffin",208,113,1989
"1088","Luke Harangody",203,111,1988
"1089","Manny Harris",196,83,1989
"1090","Gordon Hayward",203,102,1990
"1091","Lazar Hayward",198,102,1986
"1092","Xavier Henry",198,99,1991
"1093","Damion James",201,102,1987
"1094","Eugene Jeter",180,79,1983
"1095","Wesley Johnson",201,97,1987
"1096","Dominique Jones",203,99,1975
"1097","Gani Lawal",206,106,1988
"1098","Jeremy Lin",190,90,1988
"1099","Greg Monroe",211,120,1990
"1100","Timofey Mozgov",216,124,1986
"1101","Hamady N'Diaye",213,106,1987
"1102","Gary Neal",193,95,1984
"1103","Larry Owens",201,95,1983
"1104","Patrick Patterson",206,104,1989
"1105","Nikola Pekovic",211,139,1986
"1106","Dexter Pittman",211,139,1988
"1107","Quincy Pondexter",201,99,1988
"1108","Andy Rautins",193,86,1986
"1109","Samardo Samuels",206,117,1989
"1110","Larry Sanders",211,106,1988
"1111","Kevin Seraphin",206,129,1989
"1112","Mustafa Shakur",190,86,1984
"1113","Garret Siler",211,138,1986
"1114","Ish Smith",183,79,1988
"1115","Tiago Splitter",211,111,1985
"1116","Lance Stephenson",196,104,1990
"1117","Pape Sy",201,102,1988
"1118","Evan Turner",201,99,1988
"1119","Ekpe Udoh",208,108,1987
"1120","Ben Uzoh",190,92,1988
"1121","Greivis Vasquez",198,98,1987
"1122","John Wall",193,88,1990
"1123","Willie Warren",193,92,1989
"1124","Hassan Whiteside",213,120,1989
"1125","Lavoy Allen",206,117,1989
"1126","Gustavo Ayon",208,113,1985
"1127","Bismack Biyombo",206,115,1992
"1128","MarShon Brooks",196,90,1989
"1129","Alec Burks",198,97,1991
"1130","Jimmy Butler",201,99,1989
"1131","Derrick Byars",201,99,1984
"1132","Norris Cole",188,79,1988
"1133","Eric Dawson",206,113,1984
"1134","Justin Dentmon",180,83,1985
"1135","Jerome Dyson",190,81,1987
"1136","Kenneth Faried",203,103,1989
"1137","Jeff Foote",213,120,1987
"1138","Courtney Fortson",180,83,1988
"1139","Jimmer Fredette",188,88,1989
"1140","Mickell Gladness",211,99,1986
"1141","Andrew Goudelock",190,90,1988
"1142","Justin Harper",208,102,1989
"1143","Josh Harrellson",208,124,1989
"1144","Terrel Harris",196,86,1987
"1145","Cory Higgins",196,81,1989
"1146","Darington Hobson",201,95,1987
"1147","Tyler Honeycutt",203,85,1990
"1148","Dennis Horner",206,104,1988
"1149","Kyrie Irving",190,87,1992
"1150","Reggie Jackson",190,94,1990
"1151","Charles Jenkins",190,99,1989
"1152","Carldell Johnson",178,81,1983
"1153","Ivan Johnson",203,104,1984
"1154","JaJuan Johnson",206,113,1987
"1155","Jerome Jordan",213,114,1986
"1156","Cory Joseph",190,87,1991
"1157","Enes Kanter",211,111,1992
"1158","D.J. Kennedy",211,111,1992
"1159","Brandon Knight",178,78,1975
"1160","Malcolm Lee",196,90,1990
"1161","Kawhi Leonard",201,104,1991
"1162","Travis Leslie",193,92,1990
"1163","Jon Leuer",208,103,1989
"1164","DeAndre Liggins",198,94,1988
"1165","Shelvin Mack",190,92,1990
"1166","Vernon Macklin",208,102,1986
"1167","E'Twaun Moore",208,102,1986
"1168","Darius Morris",193,86,1991
"1169","Daniel Orton",208,115,1990
"1170","Jeremy Pargo",188,99,1986
"1171","Chandler Parsons",208,104,1988
"1172","Ryan Reid",203,105,1986
"1173","Ricky Rubio",193,87,1990
"1174","Josh Selby",188,83,1991
"1175","Iman Shumpert",196,99,1990
"1176","Xavier Silas",196,92,1988
"1177","Chris Singleton",203,104,1989
"1178","Donald Sloan",190,92,1988
"1179","Jerry Smith",188,86,1987
"1180","Nolan Smith",188,83,1988
"1181","Greg Stiemsma",211,117,1985
"1182","Julyan Stone",198,90,1988
"1183","Lance Thomas",203,106,1988
"1184","Malcolm Thomas",206,102,1988
"1185","Trey Thompkins",206,107,1991
"1186","Klay Thompson",201,97,1990
"1187","Tristan Thompson",206,107,1991
"1188","Jeremy Tyler",208,117,1991
"1189","Edwin Ubiles",198,92,1986
"1190","Jan Vesely",211,108,1990
"1191","Nikola Vucevic",213,117,1990
"1192","Derrick Williams",190,90,1984
"1193","Elliot Williams",196,86,1989
"1194","Chris Wright",203,102,1988
"1195","Quincy Acy",201,108,1990
"1196","Josh Akognon",180,83,1986
"1197","Will Barton",198,79,1991
"1198","Aron Baynes",208,117,1986
"1199","Kent Bazemore",196,91,1989
"1200","Bradley Beal",196,93,1993
"1201","Patrick Beverley",185,83,1988
"1202","Victor Claver",206,101,1988
"1203","Chris Copeland",206,108,1984
"1204","Jae Crowder",198,106,1990
"1205","Jared Cunningham",193,88,1991
"1206","Andre Drummond",211,126,1993
"1207","Kim English",198,90,1988
"1208","Festus Ezeli",211,115,1989
"1209","Evan Fournier",201,92,1992
"1210","Joel Freeland",208,113,1987
"1211","Draymond Green",201,104,1990
"1212","Ben Hansbrough",190,92,1987
"1213","Maurice Harkless",206,97,1993
"1214","John Henson",211,103,1990
"1215","Justin Holiday",198,83,1989
"1216","Bernard James",208,108,1985
"1217","John Jenkins",193,97,1991
"1218","Orlando Johnson",196,99,1989
"1219","Darius Johnson-Odom",201,95,1970
"1220","DeQuan Jones",203,100,1990
"1221","Kevin Jones",203,113,1989
"1222","Perry Jones",211,106,1991
"1223","Terrence Jones",206,114,1992
"1224","Kris Joseph",201,95,1988
"1225","Michael Kidd-Gilchrist",201,105,1993
"1226","Viacheslav Kravtsov",213,117,1987
"1227","Doron Lamb",193,95,1991
"1228","Jeremy Lamb",196,83,1992
"1229","Meyers Leonard",216,111,1992
"1230","Damian Lillard",190,88,1990
"1231","Scott Machado",185,92,1990
"1232","Kendall Marshall",193,90,1991
"1233","Fab Melo",213,115,1990
"1234","Khris Middleton",203,106,1991
"1235","Darius Miller",203,106,1990
"1236","Quincy Miller",206,95,1992
"1237","Donatas Motiejunas",213,100,1990
"1238","Arnett Moultrie",211,112,1990
"1239","Kevin Murphy",196,83,1990
"1240","Andrew Nicholson",206,113,1989
"1241","Kyle O'Quinn",208,113,1990
"1242","Tim Ohlbrecht",211,115,1988
"1243","Miles Plumlee",211,112,1988
"1244","Pablo Prigioni",190,83,1977
"1245","Austin Rivers",193,90,1992
"1246","Brian Roberts",185,78,1985
"1247","Thomas Robinson",208,107,1991
"1248","Terrence Ross",201,93,1991
"1249","Robert Sacre",213,122,1989
"1250","Mike Scott",203,107,1988
"1251","Tornike Shengelia",206,98,1991
"1252","Alexey Shved",198,86,1988
"1253","Henry Sims",208,112,1990
"1254","Kyle Singler",203,103,1988
"1255","Jared Sullinger",206,117,1992
"1256","Tyshawn Taylor",190,83,1990
"1257","Marquis Teague",188,85,1993
"1258","Mirza Teletovic",206,109,1985
"1259","Jonas Valanciunas",213,120,1992
"1260","Jarvis Varnado",206,104,1988
"1261","Dion Waiters",193,102,1991
"1262","Maalik Wayns",188,90,1991
"1263","Tony Wroten",198,92,1993
"1264","Luke Zeller",211,111,1987
"1265","Tyler Zeller",213,114,1990
"1266","Steven Adams",213,115,1993
"1267","Giannis Antetokounmpo",211,100,1994
"1268","Pero Antic",211,117,1982
"1269","Chris Babb",196,102,1990
"1270","Anthony Bennett",203,111,1993
"1271","Vander Blue",193,90,1992
"1272","Lorenzo Brown",196,85,1990
"1273","Reggie Bullock",201,92,1991
"1274","Trey Burke",185,86,1992
"1275","Dwight Buycks",190,86,1989
"1276","Nick Calathes",198,96,1989
"1277","Kentavious Caldwell-Pope",196,92,1993
"1278","Isaiah Canaan",183,91,1991
"1279","Michael Carter-Williams",198,86,1991
"1280","Dionte Christmas",196,92,1986
"1281","Ian Clark",190,79,1991
"1282","Robert Covington",206,97,1990
"1283","Allen Crabbe",198,95,1992
"1284","Seth Curry",188,83,1990
"1285","Troy Daniels",193,92,1991
"1286","Luigi Datome",203,97,1987
"1287","Brandon Davies",208,108,1991
"1288","Dewayne Dedmon",213,111,1989
"1289","Matthew Dellavedova",193,89,1990
"1290","Gorgui Dieng",211,109,1990
"1291","Shane Edwards",201,99,1987
"1292","Vitor Faverani",211,117,1988
"1293","Carrick Felix",198,91,1990
"1294","Jamaal Franklin",196,86,1991
"1295","Rudy Gobert",216,111,1992
"1296","Archie Goodwin",196,90,1994
"1297","Jorge Gutierrez",190,86,1988
"1298","Justin Hamilton",213,117,1990
"1299","Elias Harris",203,108,1989
"1300","Solomon Hill",201,102,1991
"1301","Scotty Hopson",201,92,1989
"1302","Robbie Hummel",203,97,1989
"1303","Sergey Karasev",201,94,1993
"1304","Ryan Kelly",211,104,1991
"1305","Ognjen Kuzmic",216,113,1990
"1306","Shane Larkin",180,79,1992
"1307","Ricky Ledo",201,88,1992
"1308","Alex Len",216,117,1993
"1309","Ray McCallum",190,86,1991
"1310","C.J. McCollum",190,86,1991
"1311","Ben McLemore",196,88,1993
"1312","Gal Mekel",190,86,1988
"1313","Shabazz Muhammad",198,101,1992
"1314","Erik Murphy",208,104,1990
"1315","Toure' Murry",196,88,1989
"1316","Mike Muscala",211,108,1991
"1317","Nemanja Nedovic",190,87,1991
"1318","James Nunnally",201,92,1990
"1319","Victor Oladipo",193,95,1992
"1320","Kelly Olynyk",213,107,1991
"1321","Arinze Onuaku",206,115,1987
"1322","Mason Plumlee",211,111,1990
"1323","Otto Porter",203,89,1993
"1324","Phil Pressey",180,79,1991
"1325","Miroslav Raduljica",213,113,1988
"1326","Dennis Schroder",185,78,1993
"1327","Peyton Siva",183,83,1990
"1328","Tony Snell",201,90,1991
"1329","James Southerland",203,97,1990
"1330","D.J. Stephens",203,97,1990
"1331","Adonis Thomas",201,90,1993
"1332","Hollis Thompson",203,93,1991
"1333","Casper Ware",178,79,1990
"1334","Jeff Withey",213,104,1990
"1335","Nate Wolters",193,86,1991
"1336","Cody Zeller",213,108,1992
"1337","Jordan Adams",196,94,1994
"1338","Furkan Aldemir",208,108,1991
"1339","Kyle Anderson",206,104,1993
"1340","Cameron Bairstow",206,113,1990
"1341","Jerrelle Benimon",203,111,1991
"1342","Sim Bhullar",226,163,1992
"1343","Tarik Black",206,113,1991
"1344","Bojan Bogdanovic",198,92,1992
"1345","Jabari Brown",193,97,1992
"1346","Markel Brown",190,83,1974
"1347","Bruno Caboclo",206,98,1995
"1348","Clint Capela",206,98,1995
"1349","Will Cherry",183,83,1991
"1350","Patrick Christopher",196,94,1988
"1351","Jordan Clarkson",196,87,1992
"1352","Jack Cooley",206,117,1991
"1353","Bryce Cotton",185,74,1992
"1354","Andre Dawkins",196,97,1991
"1355","Spencer Dinwiddie",198,90,1993
"1356","Zoran Dragic",196,90,1989
"1357","Cleanthony Early",203,95,1991
"1358","James Ennis",201,95,1990
"1359","Tyler Ennis",190,87,1994
"1360","Dante Exum",198,86,1995
"1361","Tim Frazier",185,77,1990
"1362","Langston Galloway",188,90,1991
"1363","Aaron Gordon",206,99,1995
"1364","Drew Gordon",206,111,1990
"1365","Jerami Grant",203,95,1994
"1366","Erick Green",193,83,1991
"1367","JaMychal Green",206,102,1990
"1368","P.J. Hairston",206,102,1990
"1369","Gary Harris",193,95,1994
"1370","Joe Harris",198,99,1991
"1371","Rodney Hood",203,93,1992
"1372","Joe Ingles",203,102,1987
"1373","Cory Jefferson",206,98,1990
"1374","Grant Jerrett",208,106,1993
"1375","Nick Johnson",190,91,1992
"1376","Tyler Johnson",193,84,1992
"1377","Sean Kilpatrick",193,95,1990
"1378","Alex Kirk",213,111,1991
"1379","Joffrey Lauvergne",211,99,1991
"1380","Zach LaVine",196,85,1995
"1381","Kalin Lucas",185,88,1989
"1382","Devyn Marble",198,90,1992
"1383","James Michael",198,90,1992
"1384","K.J. McDaniels",198,90,1992
"1385","Doug McDermott",203,102,1992
"1386","Mitch McGary",208,115,1992
"1387","Jerel McNeal",190,90,1987
"1388","Elijah Millsap",198,102,1987
"1389","Nikola Mirotic",208,99,1991
"1390","Eric Moreland",208,107,1991
"1391","Shabazz Napier",185,79,1991
"1392","Nerlens Noel",211,103,1994
"1393","Lucas Nogueira",213,109,1992
"1394","Jusuf Nurkic",213,127,1994
"1395","Johnny O'Bryant",206,116,1993
"1396","Kostas Papanikolaou",203,102,1990
"1397","Jabari Parker",203,113,1995
"1398","Adreian Payne",208,107,1991
"1399","Elfrid Payton",193,83,1994
"1400","Dwight Powell",211,108,1991
"1401","Julius Randle",206,113,1994
"1402","Damjan Rudez",208,103,1986
"1403","JaKarr Sampson",211,106,1983
"1404","Marcus Smart",193,99,1994
"1405","Russ Smith",183,74,1991
"1406","Nik Stauskas",198,92,1993
"1407","David Stockton",180,74,1991
"1408","Jarnell Stokes",206,119,1994
"1409","Noah Vonleh",208,108,1995
"1410","T.J. Warren",208,108,1995
"1411","David Wear",208,104,1990
"1412","Travis Wear",208,104,1990
"1413","Shayne Whittington",211,113,1991
"1414","Andrew Wiggins",203,90,1995
"1415","C.J. Wilcox",203,90,1995
"1416","James Young",198,97,1995
"1417","Cliff Alexander",203,111,1995
"1418","Justin Anderson",198,103,1993
"1419","Thanasis Antetokounmpo",201,92,1992
"1420","Keith Appling",185,83,1992
"1421","Nemanja Bjelica",208,108,1988
"1422","Devin Booker",198,93,1996
"1423","Anthony Brown",206,111,1981
"1424","Willie Cauley-Stein",213,108,1993
"1425","Rakeem Christmas",206,113,1991
"1426","Coty Clarke",201,105,1992
"1427","Pat Connaughton",196,93,1993
"1428","Branden Dawson",198,102,1993
"1429","Bryce Dejean-Jones",198,94,1992
"1430","Sam Dekker",206,104,1994
"1431","Duje Dukan",206,99,1991
"1432","Jarell Eddie",201,98,1991
"1433","Cristiano Felicio",208,124,1992
"1434","Jerian Grant",203,95,1994
"1435","Montrezl Harrell",203,108,1994
"1436","Aaron Harrison",198,95,1994
"1437","Mario Hezonja",203,97,1995
"1438","Darrun Hilliard",198,92,1993
"1439","Rondae Hollis-Jefferson",201,99,1995
"1440","Richaun Holmes",208,111,1993
"1441","Marcelo Huertas",190,90,1983
"1442","Josh Huestis",201,104,1991
"1443","R.J. Hunter",201,104,1991
"1444","Damien Inglis",203,111,1995
"1445","Nikola Jokic",208,113,1995
"1446","Tyus Jones",188,88,1996
"1447","Frank Kaminsky",213,109,1993
"1448","Sasha Kaun",211,117,1985
"1449","Kevon Looney",206,99,1996
"1450","Trey Lyles",208,106,1995
"1451","Boban Marjanovic",221,131,1988
"1452","Jarell Martin",208,108,1994
"1453","T.J. McConnell",208,108,1994
"1454","Chris McCullough",211,90,1995
"1455","Jordan McRae",198,83,1991
"1456","Salah Mejri",216,111,1986
"1457","Jordan Mickey",203,106,1994
"1458","Luis Montero",201,83,1993
"1459","Emmanuel Mudiay",196,90,1996
"1460","Xavier Munford",196,90,1996
"1461","Raul Neto",185,81,1992
"1462","J.J. O'Brien",185,81,1992
"1463","Jahlil Okafor",211,124,1995
"1464","Kelly Oubre",201,92,1995
"1465","Lamar Patterson",196,102,1991
"1466","Cameron Payne",190,83,1994
"1467","Tibor Pleiss",221,116,1989
"1468","Bobby Portis",211,104,1995
"1469","Kristaps Porzingis",221,108,1995
"1470","Norman Powell",193,97,1993
"1471","Josh Richardson",198,90,1993
"1472","Terry Rozier",188,86,1994
