"","match_clock","quarter","quarter_clock","shot_clock","shot_outcome","shooter_X","shooter_Y","defender_lastname","defender_firstname","player_distance","defender_height","shot_dist","def_angle","LeftOrRight","def_reyting","distance","rowNum"
"185",126.73,4,126.73,11.75,0,28.87561,17.9739,"Griffin","Blake",4.93400411789451,208,24.6482358208879,20.4941946454652,"0",103,0.56681263376554,"39R"
"186",2222.06,1,62.06,16,0,25.48145,11.1337,"Green","JaMychal",3.94562982521169,206,24.527246987636,19.6980737836503,"0",107,0.424565287905654,"40R"
"187",2320.66,1,160.66,10.53,1,24.32589,8.75425,"DeRozan","DeMar",8.18032220407607,201,25.0562162417752,34.8316499545094,"0",108,0.612220420997534,"41R"
"188",1071.86,3,351.86,21.36,0,65.46414,33.90217,"Monroe","Greg",5.89487323688135,211,24.9294987243727,121.654602106227,"0",106,0.356527527039685,"42R"
"189",1350.92,3,630.92,16.48,0,26.17496,37.67961,"Jack","Jarrett",3.74783980233948,190,24.4668441110352,103.729371326681,"0",112,0.451466433193633,"43R"
"190",1857.39,2,417.39,19.33,0,31.86513,17.24674,"Roberts","Brian",4.8566724233162,185,27.7214390958424,9.8445562084756,"0",109,0.463638096114571,"44R"
"191",1560.06,2,120.06,18.67,0,29.31578,12.25457,"Koufos","Kosta",12.6742866301816,213,27.2324760698197,4.94750112113884,"0",107,0.547711156179701,"45R"
"192",2351.02,1,191.02,15.52,1,67.41618,39.82022,"George","Paul",7.22294200262608,206,25.976350718313,18.3102276909338,"0",101,0.532568793093324,"46R"
"193",2174.13,1,14.13,8.08,1,26.10439,9.63809,"Muhammad","Shabazz",8.94631702657579,198,25.9016188899497,0.661262613332669,"0",114,0.589702959809151,"47R"
"194",2044.09,2,604.09,15.74,0,69.22591,40.26181,"Smith","Josh",5.303292833,206,24.78130212,7.823828886,"0",103,0.435132070153378,"48R"
"195",1447.94,2,7.94,4.44,0,70.70768,42.37348,"Miles","CJ",4.185299556,198,25.04721778,27.38411083,"0",104,0.632553780851809,"49R"
"196",222.43,4,222.43,15.33,0,64.03284,22.4106,"Mayo","O.J.",1.6931503489649,201,24.8524242444394,155.568839046759,"0",110,0.368924808265899,"50R"
"197",2559.59,1,399.59,18.4,0,3.64659,2.17165,"Hairston","PJ",4.87161136,196,22.88459061,4.839738887,"0",111,0.377357293034177,"51R"
"198",337.6,4,337.6,17.58,0,19.61437,4.93524,"Gasol","Pau",4.28591287686766,213,24.6765013596843,24.1747811709735,"0",101,0.479021740081555,"52R"
"199",752.68,3,32.68,19.28,0,25.48104,3.11082,"Hill","Jordan",7.64867511048155,208,29.8065627094773,4.4841510795641,"0",102,0.58218945442446,"53R"
"200",2169.49,1,9.49,2.45,1,21.5971,5.7177,"Harris","Gary",6.11802506197057,193,25.2791370837693,42.3226429235455,"0",111,0.700201567796261,"54R"
"201",1543.83,2,103.83,17.2,1,67.49728,38.88192,"Leuer","Jon",6.3623104770044,208,25.3847554702581,4.66252370720566,"0",106,0.393896063074341,"55R"
"202",44.51,4,44.51,9.71,0,70.29658,41.08904,"Walker","Kemba",4.876366741,185,24.48235932,29.50510817,"0",105,0.570691590427764,"56R"
"203",2404.94,1,244.94,19.79,1,63.82124,37.70281,"Douglas","Toney",4.4837005922898,188,27.9786428733364,22.4301407388283,"0",109,0.398232633361206,"57R"
"204",317.01,4,317.01,12.4,0,74.27411,44.30986,"Rose","Derrick",3.13753284403525,190,24.1334225610811,90.6261867950446,"0",110,0.425818041333379,"58R"
"205",2667.64,1,507.64,14.09,0,75.72626,46.15132,"Harris","Gary",3.18350194361492,193,24.8394070245246,64.8916363510526,"0",111,0.374900895550542,"59R"
"206",2782.66,1,622.66,16.03,0,15.88819,2.78631,"Randle","Julius",4.39909446718299,206,24.6296388502187,28.2483356393167,"0",108,0.438373651531574,"60R"
"207",770.96,3,50.96,12.05,0,90.25338,47.42762,"Johnson","Tyler",4.7793540636471,193,22.4779512030968,47.3212252522568,"0",107,0.408790813211226,"61R"
"208",2627.94,1,467.94,22.38,0,64.24119,40.88638,"Thomas","Isaiah",5.427081815,175,29.20717099,2.664776734,"0",107,0.451027688665023,"62R"
"209",1468.54,2,28.54,20.13,0,32.19828,9.71284,"Middleton","Khris",4.43002198188677,203,30.9823668531634,5.05191958391354,"0",110,0.426566459356979,"63R"
"210",2405.72,1,245.72,14,0,10.74801,2.75576,"Williams","Lou",6.68645305,185,22.91362754,25.3600835,"0",114,0.470329377106489,"64R"
"211",1186.33,3,466.33,20.52,0,32.26071,34.1537,"Jack","Jarrett",5.70840152632066,190,28.5196191838899,22.522812657706,"0",112,0.435637850447747,"65R"
"212",300.14,4,300.14,14.2,0,71.29865,43.42469,"Towns","Karl-Anthony",5.83060250608803,213,25.3775258529787,21.0526047193251,"0",106,0.424166089286175,"66R"
"213",2194.93,1,34.93,17.84,0,68.11436,10.55041,"Ellis","Monta",1.87270811727296,190,25.1916710318649,179.581320257998,"0",103,0.456577089058365,"67R"
"214",2323.43,1,163.43,11.92,0,64.77732,22.13169,"Joseph","Cory",5.28024616399653,190,24.1436656007016,14.7019095784605,"0",108,0.464914254726632,"68R"
"215",1518.95,2,78.95,8.25,0,10.92927,2.53141,"Anderson","Ryan",5.38333268944062,208,23.175237740334,0.269754667339216,"0",112,0.498405766876914,"69R"
"216",2692.87,1,532.87,12.74,1,64.0512,26.43283,"DeRozan","DeMar",7.39816402449284,201,24.7403258517122,61.7342852851171,"0",108,0.495129729825935,"70R"
"217",2562.41,1,402.41,17.27,1,64.59904,29.78779,"Lowry","Kyle",5.0351503162865,183,24.6209626539195,56.2531797615036,"0",104,0.481181215835588,"71R"
"218",1571.05,2,131.05,15.4,1,29.55383,15.55867,"Griffin","Blake",5.90264667993943,208,26.0732595744721,32.7232385727878,"0",103,0.550063890678836,"72R"
"219",735.31,3,15.31,8.91,0,25.87308,10.29554,"Dellavedova","Matthew",3.1241115167356,193,25.3284932946672,60.9618522442442,"0",108,0.59165947802487,"73R"
"220",2288.98,1,128.98,16.3,0,63.03265,34.73915,"Smith","Ish",3.81957343965266,183,27.4996933391084,13.810230772938,"0",110,0.433239202493195,"74R"
