"","X","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"200",24,21500314,1672.95,2,232.95,20.67,201939,"Curry","Stephen",1610612744,223,0,73.33849,44.66988,101139,"Miles","CJ",1610612754,80.73221,38.54156,9.603301592,190,198,-8,24.98837369,12.26721458,"Right"
"205",33,21500314,1447.94,2,7.94,4.44,201939,"Curry","Stephen",1610612744,264,0,70.70768,42.37348,101139,"Miles","CJ",1610612754,72.04939,38.40907,4.185299556,190,198,-8,25.04721778,27.38411083,"Right"
"213",7,21500336,2627.94,1,467.94,22.38,201939,"Curry","Stephen",1610612744,33,0,64.24119,40.88638,202738,"Thomas","Isaiah",1610612738,68.92757,38.1494,5.427081815,190,175,15,29.20717099,2.664776734,"Right"
"272",5,21500493,2661.11,1,501.11,18.85,201939,"Curry","Stephen",1610612744,25,0,21.65618,45.75494,202689,"Walker","Kemba",1610612766,18.36147,40.6128,6.107103877,190,185,5,26.45619543,5.676551149,"Left"
"274",7,21500493,2559.59,1,399.59,18.4,201939,"Curry","Stephen",1610612744,41,0,3.64659,2.17165,203798,"Hairston","PJ",1610612766,3.5767,7.04276,4.87161136,190,196,-6,22.88459061,4.839738887,"Right"
"275",8,21500493,2554.93,1,394.93,20.71,201939,"Curry","Stephen",1610612744,43,1,22.34847,5.8262,203798,"Hairston","PJ",1610612766,15.18441,10.6944,8.661589168,190,196,-6,25.69031496,14.07730858,"Right"
"281",33,21500493,1143.34,3,423.34,11.27,201939,"Curry","Stephen",1610612744,269,0,65.4571,34.08484,202689,"Walker","Kemba",1610612766,68.7997,36.90528,4.373540506,190,185,5,25.00187009,61.46429751,"Left"
"282",36,21500493,1038.97,3,318.97,17.73,201939,"Curry","Stephen",1610612744,281,0,76.79474,46.57014,202689,"Walker","Kemba",1610612766,75.06542,42.39081,4.522979871,190,185,5,24.66169462,51.4761882,"Right"
"286",47,21500493,188.62,4,188.62,4.74,201939,"Curry","Stephen",1610612744,421,0,69.37026,43.0982,202689,"Walker","Kemba",1610612766,70.03417,39.95792,3.209693905,190,185,5,26.51639428,35.02089762,"Right"
"287",48,21500493,44.51,4,44.51,9.71,201939,"Curry","Stephen",1610612744,449,0,70.29658,41.08904,202689,"Walker","Kemba",1610612766,71.91717,36.48984,4.876366741,190,185,5,24.48235932,29.50510817,"Right"
"290",5,21500493,2661.11,1,501.11,18.85,201939,"Curry","Stephen",1610612744,25,0,21.65618,45.75494,202689,"Walker","Kemba",1610612766,18.36147,40.6128,6.107103877,190,185,5,26.45619543,5.676551149,"Left"
