"","def_reyting","def_position"
"326",112,"PG"
"327",111,"SG"
"328",110,"PG"
"329",102,"C"
"330",112,"PG"
"331",111,"SF"
"332",111,"SG"
"333",NA,NA
"334",110,"C"
"335",114,"SG"
"336",NA,NA
"337",NA,NA
"338",110,"C"
"339",114,"SG"
"340",113,"SF"
"341",114,"SG"
"342",114,"SG"
"343",114,"SG"
"344",NA,NA
"345",110,"C"
"346",NA,NA
"347",NA,NA
"348",103,"SF"
"349",108,"PG"
"350",103,"SG"
"351",106,"PG"
"352",103,"SF"
"353",108,"PG"
"354",108,"PG"
"355",110,"PG"
"356",101,"C"
"357",110,"PG"
"358",104,"PF"
"359",106,"PF"
"360",109,"PG"
"361",112,"SF"
"362",106,"SG"
"363",110,"PG"
