"","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"1","0021500581",2805.15,1,645.15,1.14,201935,"Harden","James",1610612745,7,0,22.2194,6.09151,"203952","Wiggins","Andrew",1610612750,19.86547,9.74562,4.34666611749741,196,203,-7,25.4065253515726,9.11724242737623,"Right"
"2","0021500581",2761.36,1,601.36,19.32,2772,"Ariza","Trevor",1610612745,11,0,24.35063,9.12806,"201937","Rubio","Ricky",1610612750,21.71278,14.36684,5.8654129019959,203,193,10,24.8345031309366,23.5482925657651,"Right"
"3","0021500581",2724.91,1,564.91,4.5,1626157,"Towns","Karl-Anthony",1610612750,17,1,64.40005,19.76118,"203991","Capela","Clint",1610612745,71.8017,19.06771,7.43406506316699,213,206,7,24.9071335162218,17.4944226679752,"Right"
"4","0021500581",2568.55,1,408.55,9.49,203093,"Jones","Terrence",1610612745,44,0,8.88582,48.06177,"1626157","Towns","Karl-Anthony",1610612750,6.39328,41.02801,7.46234114666436,206,213,-7,23.3466147996942,10.5534369145405,"Left"
"5","0021500581",2467.32,1,307.32,13.55,2772,"Ariza","Trevor",1610612745,64,0,16.91629,46.87313,"203498","Muhammad","Shabazz",1610612750,15.97066,40.89748,6.05000900986106,203,198,5,24.7898394178139,19.0814226003712,"Left"
"6","0021500581",2378,1,218,6.6,201935,"Harden","James",1610612745,77,0,25.23354,40.96044,"203498","Muhammad","Shabazz",1610612750,20.18457,38.43776,5.6441130785359,196,198,-2,25.5749392164517,12.0649761032867,"Left"
"7","0021500581",2358.88,1,198.88,11.92,203498,"Muhammad","Shabazz",1610612750,85,0,73.32782,44.86262,"203991","Capela","Clint",1610612745,77.27055,38.18596,7.75389635012617,198,206,-8,25.1469145068893,7.26439636274139,"Right"
"8","0021500581",2325.38,1,165.38,18.17,2772,"Ariza","Trevor",1610612745,89,1,17.78652,4.46435,"203498","Muhammad","Shabazz",1610612750,16.43381,11.80647,7.46569155795362,203,198,5,24.0598681341544,20.9639684255707,"Right"
"9","0021500581",2265.16,1,105.16,24,203897,"LaVine","Zach",1610612750,108,0,69.63924,7.21331,"203991","Capela","Clint",1610612745,75.88689,18.76978,13.1371659570624,196,206,-10,26.107230587209,18.6586761901025,"Left"
"10","0021500581",2067.79,2,627.79,9.23,203476,"Dieng","Gorgui",1610612750,146,0,88.70306,2.87328,"203991","Capela","Clint",1610612745,89.12299,11.05654,8.19402742444154,211,206,5,22.126769789601,2.81605024626431,"Left"
