"","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"1","0021500415",2822.51,1,662.51,15.65,203798,"Hairston","PJ",1610612766,13,0,65.8612,36.1272,"201935","Harden","James",1610612745,70.19164,34.20492,4.7379184239495,NA,196,NA,25.4501816355012,1.98990961787323,"Right"
"2","0021500415",2765.11,1,605.11,14.23,2772,"Ariza","Trevor",1610612745,19,0,6.33023,2.58486,"203469","Zeller","Cody",1610612766,10.77196,11.22813,9.71777143617815,203,213,-10,22.4411541163216,29.9574504593951,"Right"
"3","0021500415",2740.45,1,580.45,8.58,2772,"Ariza","Trevor",1610612745,28,1,23.20989,8.77644,"201587","Batum","Nicolas",1610612766,15.08621,14.00736,9.66212713582263,203,203,0,24.2025111896617,9.31429450524237,"Right"
"4","0021500415",2723.81,1,563.81,11.6,203798,"Hairston","PJ",1610612766,30,0,77.71218,3.02082,"2730","Howard","Dwight",1610612745,84.69708,23.46606,21.6054777005184,NA,211,NA,24.5950772274616,7.80335465750202,"Left"
"5","0021500415",2687.91,1,527.91,16.22,101107,"Williams","Marvin",1610612766,34,0,65.6988,17.08752,"202700","Motiejunas","Donatas",1610612745,73.65944,23.42164,10.1731443213984,185,213,-28,24.3714004765914,19.5634260561671,"Left"
"6","0021500415",2667.4,1,507.4,15.14,202700,"Motiejunas","Donatas",1610612745,43,0,29.51302,17.78356,"101107","Williams","Marvin",1610612766,21.48684,19.47978,8.20345827567862,213,185,28,25.313457800032,4.63075015297436,"Right"
"7","0021500415",2641.28,1,481.28,14.89,201935,"Harden","James",1610612745,46,1,21.15211,6.1041,"203798","Hairston","PJ",1610612766,21.41675,10.55052,4.45428839950895,196,NA,NA,24.6968042317645,43.4888453688748,"Right"
"8","0021500415",2617,1,457,4.33,203798,"Hairston","PJ",1610612766,47,1,62.89325,16.96466,"201935","Harden","James",1610612745,68.88889,21.47029,7.49989337967548,NA,196,NA,27.0765250628307,19.6609418087621,"Left"
"9","0021500415",2605.26,1,445.26,17.07,201935,"Harden","James",1610612745,49,0,24.20905,8.34401,"203798","Hairston","PJ",1610612766,22.80589,13.32738,5.17714540480562,196,NA,NA,25.2362354518775,32.9743544822665,"Right"
"10","0021500415",2588.13,1,428.13,8.86,202689,"Walker","Kemba",1610612766,50,0,77.19222,46.08755,"202700","Motiejunas","Donatas",1610612745,76.54451,38.82222,7.29414479243454,NA,213,NA,24.0471836922934,33.8210041822113,"Right"
"11","0021500415",2533.19,1,373.19,18.07,101107,"Williams","Marvin",1610612766,65,0,64.38481,21.71005,"1891","Terry","Jason",1610612745,71.89863,21.68769,7.51385326992748,185,188,-3,24.5863021769968,7.86045054037155,"Right"
"12","0021500415",2499.59,1,339.59,24,101107,"Williams","Marvin",1610612766,75,1,88.39225,2.07183,"1891","Terry","Jason",1610612745,84.73315,13.1752,11.6907586651551,185,188,-3,22.9309608305322,19.1334811485452,"Left"
"13","0021500415",2478.44,1,318.44,6.83,1891,"Terry","Jason",1610612745,76,0,18.97448,44.49128,"201587","Batum","Nicolas",1610612766,8.05191,40.25591,11.7149858916603,188,203,-15,23.8384426359777,33.6548509010743,"Left"
"14","0021500415",2428.79,1,268.79,7.36,101107,"Williams","Marvin",1610612766,87,0,63.82345,20.61386,"202700","Motiejunas","Donatas",1610612745,74.67191,24.03114,11.3739565222485,185,213,-28,25.3095064946375,7.5047502987907,"Left"
"15","0021500415",2302.32,1,142.32,14.01,203093,"Jones","Terrence",1610612745,122,0,8.34191,47.81105,"1626163","Kaminsky","Frank",1610612766,7.91478,41.122,6.70267334273423,206,213,-7,23.0196418206409,4.06541129378154,"Left"
"16","0021500415",2291.72,1,131.72,16.24,201150,"Hawes","Spencer",1610612766,128,0,64.01048,31.66095,"1891","Terry","Jason",1610612745,70.82399,29.55192,7.13245582257611,216,188,28,25.6205406799486,2.130046883348,"Right"
"17","0021500415",2259.51,1,99.51,18.04,201587,"Batum","Nicolas",1610612766,131,0,73.88507,3.59723,"201147","Brewer","Corey",1610612745,75.61281,8.48718,5.18620251340998,203,206,-3,26.0584862871541,15.321682729914,"Left"
"18","0021500415",2240.29,1,80.29,7.53,201976,"Beverley","Patrick",1610612745,134,0,26.91101,36.87037,"202689","Walker","Kemba",1610612766,29.30767,33.2321,4.35671754288707,185,NA,NA,24.7003044142577,94.6513220567313,"Left"
"19","0021500415",2220.39,1,60.39,11.34,202689,"Walker","Kemba",1610612766,137,1,62.46363,34.92309,"203093","Jones","Terrence",1610612745,67.29986,30.91623,6.28044963935704,NA,206,NA,28.0969920618738,18.9605597823629,"Right"
"20","0021500415",2115.27,2,675.27,10.27,203798,"Hairston","PJ",1610612766,160,0,62.71289,31.69072,"201147","Brewer","Corey",1610612745,70.12403,34.10924,7.79578316078635,NA,206,NA,26.8830212452116,32.484764603863,"Left"
"21","0021500415",2009.06,2,569.06,14.47,203148,"Roberts","Brian",1610612766,175,0,67.72744,12.89205,"203991","Capela","Clint",1610612745,74.33055,20.36139,9.96955875190572,185,206,-21,24.2600594013308,18.5825939438167,"Left"
"22","0021500415",1967.27,2,527.27,2.18,203798,"Hairston","PJ",1610612766,179,0,67.07188,8.39271,"201147","Brewer","Corey",1610612745,73.05274,12.33109,7.16111188042751,NA,206,NA,27.308294854833,4.09040143900583,"Left"
"23","0021500415",1955.68,2,515.68,15.04,201977,"Thornton","Marcus",1610612745,183,0,28.86789,33.06295,"203087","Lamb","Jeremy",1610612766,20.09644,30.66824,9.09246782158727,193,196,-3,24.9562795855993,3.5791801510921,"Left"
