"","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"1","0021500556",2787.2,1,627.2,18.7,201575,"Rush","Brandon",1610612744,10,1,25.78636,39.68528,"203112","Acy","Quincy",1610612758,11.49493,42.94247,14.6579076999755,198,201,-3,25.2467726794535,48.4071548277886,"Right"
"2","0021500556",2764.73,1,604.73,22.52,202326,"Cousins","DeMarcus",1610612758,16,0,65.07579,36.56968,"203110","Green","Draymond",1610612744,73.9068,31.47703,10.1942052972559,211,201,10,26.3500609947397,3.92616426451144,"Right"
"3","0021500556",2722.64,1,562.64,24,201939,"Curry","Stephen",1610612744,20,0,27.40792,11.59147,"200765","Rondo","Rajon",1610612758,24.43171,17.43578,6.55848956240688,190,185,5,25.8990751859463,31.8329738769808,"Right"
"4","0021500556",2688.5,1,528.5,8.23,203463,"McLemore","Ben",1610612758,24,0,86.20879,48.41715,"201939","Curry","Stephen",1610612744,86.79268,43.7217,4.73161475974112,196,190,6,23.5546314423852,0.895018940136894,"Right"
"5","0021500556",2675.86,1,515.86,14,201939,"Curry","Stephen",1610612744,26,1,4.70164,2.45913,"200765","Rondo","Rajon",1610612758,6.71749,6.14072,4.19735108736451,190,185,5,22.5475390906968,27.3092733374644,"Right"
"6","0021500556",2653.12,1,493.12,9.87,202691,"Thompson","Klay",1610612744,32,0,28.5614,36.16349,"200752","Gay","Rudy",1610612758,15.05404,31.24009,14.3766700501055,201,203,-2,25.8465641612207,5.5624060924512,"Left"
"7","0021500556",2648.24,1,488.24,22.94,202691,"Thompson","Klay",1610612744,33,0,40.26712,36.78125,"200752","Gay","Rudy",1610612758,34.03663,32.49427,7.56288325709844,201,203,-2,36.9458596416012,15.9353554557619,"Left"
"8","0021500556",2588.57,1,428.57,9.32,201575,"Rush","Brandon",1610612744,42,1,16.76551,3.77264,"200752","Gay","Rudy",1610612758,9.6689,6.89206,7.75194521578294,198,203,-5,24.1496953009702,37.7922621262692,"Right"
"9","0021500556",2559.24,1,399.24,7.32,203110,"Green","Draymond",1610612744,45,1,24.23949,40.13485,"200765","Rondo","Rajon",1610612758,22.09081,33.89787,6.59672231208803,201,185,16,24.2830067121557,32.4355753855708,"Left"
"10","0021500556",2490.03,1,330.03,9.68,202691,"Thompson","Klay",1610612744,59,0,31.02783,25.80727,"203463","McLemore","Ben",1610612758,31.38064,21.87003,3.95301577453215,201,196,5,25.7904673156924,93.3267963407841,"Left"
"11","0021500556",2421.93,1,261.93,15.78,202691,"Thompson","Klay",1610612744,71,0,18.62561,2.45979,"203463","McLemore","Ben",1610612758,19.13453,7.12497,4.69285669915458,201,196,5,26.2100745843311,36.9110856704071,"Right"
"12","0021500556",2412.52,1,252.52,15.69,201954,"Collison","Darren",1610612758,70,0,77.08516,4.07581,"201939","Curry","Stephen",1610612744,78.82779,8.68312,4.92585675319532,183,190,-7,23.9560059146282,8.42064018182536,"Left"
"13","0021500556",2386.17,1,226.17,18.67,201939,"Curry","Stephen",1610612744,80,0,32.02087,28.31392,"200752","Gay","Rudy",1610612758,25.83966,34.46696,8.72165456239239,190,203,-13,26.9752024334072,51.925791240715,"Right"
"14","0021500556",2361.13,1,201.13,13.43,203110,"Green","Draymond",1610612744,85,1,17.80701,46.61733,"201585","Koufos","Kosta",1610612758,11.31141,37.8719,10.8938223431861,201,213,-12,24.9997491281213,6.45151202999963,"Left"
