"","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"1","0021500381",2814.56,1,654.56,9.02,203110,"Green","Draymond",1610612744,5,1,64.6008,32.3286,"202720","Leuer","Jon",1610612756,69.17521,30.19695,5.04669778871293,201,208,-7,25.2367240068912,8.10369952461804,"Right"
"2","0021500381",2801.93,1,641.93,16.44,202720,"Leuer","Jon",1610612756,6,1,8.00754,2.49634,"203110","Green","Draymond",1610612744,7.75098,9.19981,6.70837782735141,208,201,7,22.6719813921766,4.79425336094534,"Right"
"3","0021500381",2792.63,1,632.63,18.3,202691,"Thompson","Klay",1610612744,8,0,69.44657,46.01995,"200782","Tucker","PJ",1610612756,72.26355,41.58238,5.25617768205186,201,NA,NA,28.5387579927263,10.1549785766035,"Right"
"4","0021500381",2753,1,593,13,201575,"Rush","Brandon",1610612744,13,1,86.10962,20.36717,NA,NA,NA,NA,NA,NA,999,198,NA,NA,5.33242162186187,NA,NA
"5","0021500381",2727.61,1,567.61,19,202688,"Knight","Brandon",1610612756,20,0,23.05763,43.33658,"201939","Curry","Stephen",1610612744,16.07152,32.14522,13.1928871586814,178,190,-12,25.5605526605608,12.1874523749268,"Left"
"6","0021500381",2719.32,1,559.32,17.94,201575,"Rush","Brandon",1610612744,20,1,77.46235,2.64068,"202688","Knight","Brandon",1610612756,66.92844,17.389,18.1239124559379,198,178,20,25.0469605618107,62.3221260839987,"Left"
"7","0021500381",2665.53,1,505.53,16.07,201575,"Rush","Brandon",1610612744,26,1,88.87411,2.03294,"202688","Knight","Brandon",1610612756,85.18037,7.59727,6.67873367761435,198,178,20,22.9673953319853,33.267578059586,"Left"
"8","0021500381",2628.23,1,468.23,9.32,202688,"Knight","Brandon",1610612756,35,0,19.68306,45.07263,"201939","Curry","Stephen",1610612744,18.12939,39.71876,5.57474792666,178,190,-12,24.7229386619087,19.5352128943387,"Left"
"9","0021500381",2609.42,1,449.42,15.45,202720,"Leuer","Jon",1610612756,37,0,30.54782,23.50387,"203110","Green","Draymond",1610612744,25.09814,22.4357,5.5533772833565,208,201,7,25.3420224474942,14.4742952446073,"Left"
"10","0021500381",2482.73,1,322.73,6.25,202691,"Thompson","Klay",1610612744,63,0,65.17951,31.23325,"203933","Warren","TJ",1610612756,73.02675,30.29864,7.9027002644476,201,NA,NA,24.3807588971837,8.02089462662168,"Right"
