"","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"1","0021500480",2824.09,1,664.09,16.85,203110,"Green","Draymond",1610612744,2,0,75.25843,44.88,"202718","Parsons","Chandler",1610612742,77.15672,41.40126,3.96297071799679,201,208,-7,24.0257541206286,5.54223676845299,"Right"
"2","0021500480",2775.72,1,615.72,11.37,1717,"Nowitzki","Dirk",1610612742,7,0,19.2655,45.0961,"203110","Green","Draymond",1610612744,17.05929,40.41436,5.17552432046261,213,201,12,24.5007647933692,9.6612821528391,"Left"
"3","0021500480",2642.54,1,482.54,19.75,200826,"Barea","Jose Juan",1610612742,22,1,28.09852,16.08746,"203110","Green","Draymond",1610612744,19.82613,26.6864,13.4450721617885,NA,201,NA,24.5252570922712,30.7189362441745,"Right"
"4","0021500480",2532,1,372,19.5,202083,"Matthews","Wesley",1610612742,32,1,5.34527,47.48371,"202691","Thompson","Klay",1610612744,7.39602,41.99728,5.85717420838752,NA,201,NA,22.4839118424041,20.7378100953327,"Left"
"5","0021500480",2508.56,1,348.56,4.1,202691,"Thompson","Klay",1610612744,35,0,67.26385,7.63685,"202718","Parsons","Chandler",1610612742,69.40162,11.95944,4.82232774508328,201,208,-7,27.6248732077633,24.74296239374,"Left"
"6","0021500480",2389.45,1,229.45,16.05,202691,"Thompson","Klay",1610612744,57,1,73.73039,3.9678,"202083","Matthews","Wesley",1610612742,74.49968,8.28238,4.38262566054871,201,NA,NA,25.8445762470987,25.4219574593591,"Left"
"7","0021500480",2260.68,1,100.68,4.68,203110,"Green","Draymond",1610612744,82,0,65.9691,10.66009,"203939","Powell","Dwight",1610612742,70.36115,12.63523,4.81573267759953,201,211,-10,26.9184402151778,7.97538366970648,"Left"
"8","0021500480",2024.02,2,584.02,3.91,202691,"Thompson","Klay",1610612744,121,0,90.7045,47.59215,"101109","Felton","Raymond",1610612742,89.7944,42.17645,5.4916380525304,201,185,16,22.6765365934152,4.59485400138236,"Right"
"9","0021500480",1987.31,2,547.31,11.95,203546,"Clark","Ian",1610612744,123,1,69.20078,8.52204,"200826","Barea","Jose Juan",1610612742,72.58782,13.52114,6.03846344458588,190,NA,NA,25.5674630804466,15.7537772925207,"Left"
"10","0021500480",1967.21,2,527.21,8.82,200826,"Barea","Jose Juan",1610612742,125,0,29.17651,19.74067,"203546","Clark","Ian",1610612744,22.09816,18.7325,7.14978639341065,NA,190,NA,24.4977230131496,20.5032563626077,"Left"
"11","0021500480",1939.97,2,499.97,18.06,201575,"Rush","Brandon",1610612744,126,0,90.52251,47.22256,"200826","Barea","Jose Juan",1610612742,81.53055,40.76693,11.0693497251871,198,NA,NA,22.2931371649147,49.7638078690879,"Right"
"12","0021500480",1837.81,2,397.81,20.91,201575,"Rush","Brandon",1610612744,152,1,73.51289,4.1686,"2734","Harris","Devin",1610612742,82.31013,9.06152,10.0663845418303,198,190,8,25.8092376313618,24.734137368096,"Left"
"13","0021500480",1776.82,2,336.82,14.72,202083,"Matthews","Wesley",1610612742,175,0,7.22159,2.46124,"202691","Thompson","Klay",1610612744,8.42443,7.31407,4.99967829710072,NA,201,NA,22.6248286063276,18.9202336085872,"Right"
"14","0021500480",1709.22,2,269.22,13.39,200826,"Barea","Jose Juan",1610612742,183,1,26.81041,39.36085,"202691","Thompson","Klay",1610612744,27.73973,30.8365,8.57485735070269,NA,201,NA,25.9053139739822,62.5551915060438,"Left"
"15","0021500480",1670.06,2,230.06,18.56,101111,"Villanueva","Charlie",1610612742,187,0,26.92105,38.32354,"2733","Livingston","Shaun",1610612744,14.98986,40.72067,12.1696149098071,211,201,10,25.4391652031685,42.9437602172173,"Right"
"16","0021500480",1585.61,2,145.61,18.42,200826,"Barea","Jose Juan",1610612742,213,1,30.02904,23.5383,"203110","Green","Draymond",1610612744,23.78097,25.87075,6.66923546798282,NA,201,NA,24.8221149423573,17.0950393641081,"Right"
"17","0021500480",1542.67,2,102.67,13.77,201575,"Rush","Brandon",1610612744,225,0,73.17941,5.12804,"203939","Powell","Dwight",1610612742,78.90638,11.92126,8.88515747464838,198,211,-13,25.2455553947561,2.05197262531528,"Left"
"18","0021500480",1475.74,2,35.74,9.75,202083,"Matthews","Wesley",1610612742,236,1,6.97737,47.65175,"202691","Thompson","Klay",1610612744,8.41578,44.0084,3.91701704752481,NA,201,NA,22.7175171438122,25.905119991093,"Left"
"19","0021500480",1446.18,2,6.18,NA,201575,"Rush","Brandon",1610612744,241,0,61.64866,18.97289,"200826","Barea","Jose Juan",1610612742,73.77966,19.72169,12.1540883014729,198,NA,NA,27.7634415148357,9.00588779643351,"Left"
"20","0021500480",1398.44,3,678.44,18.94,203110,"Green","Draymond",1610612744,250,1,36.18854,31.23588,"202718","Parsons","Chandler",1610612742,18.33108,27.43659,18.2571487959018,201,208,-7,31.5607264920502,0.615271507728307,"Left"
"21","0021500480",1368.76,3,648.76,0.3,202718,"Parsons","Chandler",1610612742,255,1,78.18813,3.01117,"203110","Green","Draymond",1610612744,80.44325,6.62137,4.25665481973815,208,201,7,24.3938874037288,6.33473970224574,"Left"
"22","0021500480",1309.78,3,589.78,7.61,200826,"Barea","Jose Juan",1610612742,260,1,63.28552,19.02347,"203110","Green","Draymond",1610612744,69.4521,22.65802,7.15797894652534,NA,201,NA,26.1564266005756,17.306578848401,"Left"
"23","0021500480",1220.91,3,500.91,15.61,203110,"Green","Draymond",1610612744,276,0,13.05558,47.65598,"202718","Parsons","Chandler",1610612742,14.39685,43.31137,4.54693756994749,201,208,-7,23.9628985912973,36.1667018859317,"Left"
"24","0021500480",1150.59,3,430.59,18.36,202718,"Parsons","Chandler",1610612742,288,0,91.07237,2.46339,"202691","Thompson","Klay",1610612744,84.73309,5.19037,6.9009340555319,208,201,7,22.6559526992135,60.8404917214475,"Left"
"25","0021500480",1130.8,3,410.8,17.92,1717,"Nowitzki","Dirk",1610612742,291,1,64.64157,30.451,"201575","Rush","Brandon",1610612744,72.65652,30.40556,8.01507880785336,213,198,15,24.7169941146754,12.4157181403239,"Right"
"26","0021500480",1072.37,3,352.37,9.53,2734,"Harris","Devin",1610612742,306,1,67.14617,15.17383,"2738","Iguodala","Andre",1610612744,75.52667,13.41258,8.56357295832178,190,198,-8,23.7335013754355,36.326270621685,"Right"
"27","0021500480",1027.14,3,307.14,3.05,202083,"Matthews","Wesley",1610612742,308,1,65.00118,34.12124,"202691","Thompson","Klay",1610612744,69.34589,34.03497,4.34556641843154,NA,201,NA,25.4401939955261,19.8728147202827,"Right"
"28","0021500480",1006.98,3,286.98,7.98,2738,"Iguodala","Andre",1610612744,309,1,5.46706,47.37583,"2734","Harris","Devin",1610612742,10.83803,34.54536,13.9092875145278,198,190,8,22.3768827863154,23.2704881707119,"Left"
"29","0021500480",624,4,624,1.46,200826,"Barea","Jose Juan",1610612742,388,0,70.79386,4.37865,"203949","McAdoo","James Michael",1610612744,74.86454,8.5019,5.79410271093809,NA,NA,NA,27.3434277207906,3.58453503177252,"Left"
"30","0021500480",606.47,4,606.47,9.12,101109,"Felton","Raymond",1610612742,396,1,89.20691,2.13767,"2738","Iguodala","Andre",1610612744,86.31513,13.39876,11.6264585990963,185,198,-13,22.8668952806672,13.2571019320881,"Left"
"31","0021500480",582.81,4,582.81,16.73,200826,"Barea","Jose Juan",1610612742,399,1,66.79719,36.3093,"2738","Iguodala","Andre",1610612744,74.66118,37.62633,7.97351282315392,NA,198,NA,24.694657992896,36.7633363123199,"Left"
"32","0021500480",550.54,4,550.54,10.3,1717,"Nowitzki","Dirk",1610612742,403,1,66.62873,35.33133,"201575","Rush","Brandon",1610612744,72.99304,22.97113,13.9024812827099,213,198,15,24.4148922992054,37.7218471558694,"Right"
